Logist Platform RAW Log Output:
===============================


Starting date : mar. oct. 27 21:46:31 CET 2009
Starting time : 21:46:31

General environnement info:

	java-vendor     : Sun Microsystems Inc.
	java-vendor-url : http://java.sun.com/
	java-version    : 1.6.0_16
	os-arch         : i386
	os-name         : Linux
	user-name       : polo
	cache-size      : 5
	max-entries     : 0
	debug-level     : debug


Log file entries:

[21:46:31] INFO    : Platform started...
[21:46:31] INFO    : Reading the configuration file ...
[21:46:31] INFO    : New configuration found: 'ex2-deliberative1'
[21:46:31] INFO    : Found a new logset: 'deliberative-logset'
[21:46:31] INFO    : Found a new taskset: 'default_taskset'
[21:46:31] INFO    : Found a new toposet: 'topo_partOfEurope'
[21:46:31] INFO    : New city found: 'Brest'
[21:46:31] INFO    : New city found: 'Le Havre'
[21:46:31] INFO    : New city found: 'Paris'
[21:46:31] INFO    : New city found: 'Bordeaux'
[21:46:31] INFO    : New city found: 'Marseille'
[21:46:31] INFO    : New city found: 'Lyon'
[21:46:31] INFO    : New city found: 'Genève'
[21:46:31] INFO    : New city found: 'Monaco'
[21:46:31] INFO    : New city found: 'Strasbourg'
[21:46:31] INFO    : Found new route from 'Paris' to 'Brest'
[21:46:31] INFO    : Found new route from 'Paris' to 'Bordeaux'
[21:46:31] INFO    : Found new route from 'Paris' to 'Le Havre'
[21:46:31] INFO    : Found new route from 'Paris' to 'Strasbourg'
[21:46:31] INFO    : Found new route from 'Paris' to 'Lyon'
[21:46:31] INFO    : Found new route from 'Strasbourg' to 'Genève'
[21:46:31] INFO    : Found new route from 'Strasbourg' to 'Monaco'
[21:46:31] INFO    : Found new route from 'Lyon' to 'Genève'
[21:46:31] INFO    : Found new route from 'Lyon' to 'Marseille'
[21:46:31] INFO    : Found new route from 'Bordeaux' to 'Marseille'
[21:46:31] INFO    : Found new route from 'Bordeaux' to 'Lyon'
[21:46:31] INFO    : Found new route from 'Bordeaux' to 'Brest'
[21:46:31] INFO    : Found new route from 'Monaco' to 'Genève'
[21:46:31] INFO    : Found new route from 'Marseille' to 'Monaco'
[21:46:31] INFO    : Found a new agentset: 'deliberative-agents'
[21:46:31] INFO    : Found a new agent named 'TransporteX' !
[21:46:31] DEBUG   : Agent 'TransporteX' properties:
[21:46:31] DEBUG   :    --> speed: 120.0
[21:46:31] DEBUG   :    --> capacity: 80.0
[21:46:31] DEBUG   :    --> costperkm: 15.0
[21:46:31] DEBUG   :    --> color: java.awt.Color[r=255,g=0,b=0]
[21:46:31] DEBUG   :    --> home: random
[21:46:31] INFO    : Found a new agent named 'Camion-1' !
[21:46:31] DEBUG   : Agent 'Camion-1' properties:
[21:46:31] DEBUG   :    --> speed: 90.0
[21:46:31] DEBUG   :    --> capacity: 80.0
[21:46:31] DEBUG   :    --> costperkm: 15.0
[21:46:31] DEBUG   :    --> color: java.awt.Color[r=0,g=0,b=255]
[21:46:31] DEBUG   :    --> home: Paris
[21:46:31] INFO    : Agent 'Camion-1' has no children !
[21:46:31] INFO    : Log file path: logs/
[21:46:31] INFO    : History file path: /home/polo/Work/EPFL/ia/deliberative
